guideline,c_category,decidability,scope,rationale,applicability_rust_general,applicability_safe_rust,rust_category
R.22.6,Mandatory,Undecidable,System,UB,Yes,No,Required
R.22.7,Required,Undecidable,System,DC,Yes,No,Required
R.22.8,Required,Undecidable,System,DC,Yes,No,Disapplied
R.22.9,Required,Undecidable,System,DC,Yes,No,Disapplied
R.22.10,Required,Undecidable,System,DC,Yes,No,Disapplied
R.22.11,Required,Undecidable,System,UB,Yes,Partial,Required
R.22.12,Mandatory,Undecidable,System,UB,Yes,No,Required
R.22.13,Required,Decidable,STU,"UB,DC",Yes,Yes,Required
R.22.14,Mandatory,Undecidable,System,UB,Yes,Partial,Required
R.22.15,Required,Undecidable,System,UB,Yes,Partial,Required
R.22.16,Required,Undecidable,System,UB,Yes,No,Required
R.22.17,Required,Undecidable,System,UB,Yes,No,Required
R.22.18,Required,Undecidable,System,UB,Yes,Yes,Required
R.22.19,Required,Undecidable,System,UB,Yes,Yes,Required
R.22.20,Mandatory,Undecidable,System,UB,Yes,Partial,Required
R.23.1,Advisory,Decidable,STU,DC,No,No,n/a
R.23.2,Required,Decidable,STU,DC,No,No,n/a
R.23.3,Advisory,Decidable,STU,DC,No,No,n/a
R.23.4,Required,Decidable,STU,DC,No,No,n/a
R.23.5,Advisory,Decidable,STU,DC,No,No,n/a
R.23.6,Required,Decidable,STU,DC,No,No,n/a
R.23.7,Advisory,Decidable,STU,DC,No,No,n/a
R.23.8,Required,Decidable,STU,DC,No,No,n/a
